,epoch,dataset_ix,train_loss,train_avg_acc,train_robust_acc,val_loss,val_avg_acc,val_robust_acc,test_loss,test_avg_acc,test_robust_acc,best_loss_epoch,best_acc_epoch,best_robust_acc_epoch
0,0,0,24.069109946489334,69.67674661105318,10.714285714285714,7.622901797294617,55.21267723102585,10.526315789473683,35.90817677974701,53.572661373835004,5.29595015576324,0,0,0
1,1,0,17.7474325299263,91.44942648592284,48.214285714285715,5.760299205780029,73.89491242702252,49.62406015037594,26.804022818803787,73.29996548153262,47.81931464174455,1,1,1
2,2,0,22.012684732675552,75.59958289885297,47.28260869565217,6.399608790874481,64.13678065054211,42.27467811158798,29.64890256524086,63.410424577148774,40.709534368070955,1,1,1
3,3,0,17.955585539340973,86.98644421272158,75.0,5.0791372656822205,81.7347789824854,74.0343347639485,23.54624566435814,80.16914049016223,70.86474501108647,3,3,3
4,4,0,20.938328504562378,76.78832116788321,72.24128073184677,5.472439616918564,77.23102585487906,70.2355460385439,25.15202444791794,75.83707283396618,70.28824833702882,3,3,3
5,5,0,16.05448415875435,88.17518248175182,85.86956521739131,4.349962621927261,86.07172643869892,83.69098712446352,20.31306365132332,85.05350362443907,81.77383592017739,5,5,5
6,6,0,17.357208728790283,82.89885297184567,81.38936535162951,4.567012220621109,83.5696413678065,80.72805139186295,21.190989702939987,82.136693130825,79.91130820399113,5,5,5
7,7,0,11.932757169008255,91.86652763295099,83.15217391304348,3.8642057180404663,87.32276897414512,81.54506437768241,18.25943049788475,85.53676216775975,78.44789356984478,7,7,5
8,8,0,17.561251178383827,80.60479666319083,76.81532304173814,4.923338532447815,79.8999165971643,74.7323340471092,22.95172308385372,77.92544011045909,72.63858093126386,7,7,5
9,9,0,13.50855253636837,89.38477580813348,87.51182592242195,3.7182054817676544,87.57297748123436,85.71428571428571,17.441786110401154,86.5032792544011,84.52328159645232,9,9,9
10,10,0,14.592350408434868,85.6725755995829,84.21955403087479,4.065678268671036,84.90408673894912,82.86937901498929,19.016784876585007,83.82809803244736,81.72949002217294,9,9,9
11,11,0,8.783157993108034,94.13972888425444,82.06521739130434,3.630326747894287,87.57297748123436,79.39914163090128,17.3415410220623,85.9337245426303,75.69844789356985,11,9,9
12,12,0,14.641104221343994,85.46402502606882,83.87650085763293,3.9352764040231705,85.3211009174312,82.44111349036403,18.394288033246994,84.05246807041767,82.12860310421286,11,9,9
13,13,0,24.332248151302338,69.1762252346194,53.169347209082304,4.683931529521942,78.39866555462885,57.14285714285714,21.369375377893448,78.54677252329996,53.89408099688473,11,9,9
14,14,0,17.214753419160843,81.68925964546403,71.33396404919584,3.819401651620865,85.73811509591326,74.43609022556392,17.496164590120316,84.81187435277874,70.56074766355141,11,9,9
15,15,0,6.7194824032485485,95.87069864442127,73.91304347826086,4.028533905744553,84.32026688907422,71.03004291845494,19.462386772036552,83.01691404901622,67.62749445676275,11,9,9
16,16,0,10.676683001220226,91.03232533889468,71.73913043478261,4.541769802570343,81.81818181818183,69.09871244635193,21.559296011924744,80.03106662064205,64.30155210643017,11,9,9
17,17,0,12.067905895411968,91.6162669447341,82.14285714285714,3.4474822729825974,89.40783986655546,84.21052631578947,15.952480345964432,88.41905419399379,83.48909657320873,17,17,9
18,18,0,12.473863407969475,89.23879040667362,88.64711447492904,3.5900241285562515,87.7397831526272,87.1244635193133,16.525502376258373,86.7103900586814,85.18847006651885,17,17,18
19,19,0,7.865800406783819,95.28675703858185,83.92857142857143,3.264817088842392,89.6580483736447,80.45112781954887,15.619099020957947,88.40179496030376,78.66043613707166,19,19,18
20,20,0,10.67718018591404,91.6371220020855,89.87701040681173,3.3870367854833603,88.57381150959132,85.71428571428571,15.725920610129833,87.90127718329306,85.202492211838,19,19,18
21,21,0,13.826702177524567,88.6757038581856,77.2942289498581,3.441423535346985,88.49040867389492,78.19548872180451,15.757974818348885,87.849499482223,74.29906542056075,19,19,18
22,22,0,14.280940359458327,85.58915537017727,82.99028016009147,4.3968022763729095,84.40366972477065,80.94218415417559,20.357869051396847,82.861580945806,79.77827050997782,19,19,18
23,23,0,5.801980994641781,96.70490093847758,79.8913043478261,4.372335344552994,85.4045037531276,73.17596566523605,21.790848165750504,83.96617190196756,70.42128603104213,19,19,18
24,24,0,12.592065189033747,88.02919708029196,86.33504859919954,4.3167984783649445,83.90325271059216,79.6137339055794,20.09886698797345,83.32758025543666,77.60532150776052,19,19,18
25,25,0,34.57408779859543,47.653806047966626,37.36991485335856,6.385465502738953,64.47039199332777,36.09022556390977,27.931390464305878,66.77597514670349,36.7601246105919,19,19,18
26,26,0,24.33357337117195,67.79979144942648,50.804162724692524,4.899411648511887,76.8974145120934,52.63157894736842,21.30192095041275,78.80566102865033,51.4018691588785,19,19,18
27,27,0,8.040518380701542,95.47445255474453,82.14285714285714,3.146536558866501,90.24186822351959,73.68421052631578,14.916893124580383,89.26475664480496,75.54517133956386,27,27,18
28,28,0,10.181971356272697,92.47132429614182,86.41304347826086,3.8502502739429474,86.48874061718098,81.54506437768241,18.07049275189638,85.89920607525026,78.89135254988913,27,27,18
29,29,0,7.34078823402524,96.07924921793534,82.14285714285714,3.3619421869516373,89.24103419516264,74.43609022556392,16.32408082485199,88.5053503624439,75.23364485981308,27,27,18
30,30,0,11.670681050047278,89.40563086548488,83.69565217391305,4.705378770828247,83.98665554628857,76.1802575107296,22.498285993933678,82.80980324473593,73.12638580931264,27,27,18
31,31,0,9.278891555964947,94.16058394160584,85.71428571428571,3.182967394590378,89.32443703085904,78.94736842105263,14.868294067680836,88.8505350362444,79.2834890965732,27,27,18
32,32,0,11.830827496945858,88.94681960375391,87.33562035448827,4.337320953607559,84.82068390325271,81.11587982832617,20.27720371261239,84.10424577148775,78.35920177383592,27,27,18
33,33,0,6.452419493347406,96.64233576642336,82.14285714285714,3.3619298338890076,88.24020016680566,72.93233082706767,16.49984585493803,87.72868484639282,73.83177570093457,27,27,18
34,34,0,16.344103382434696,82.08550573514077,77.47284162378502,6.005695044994354,78.0650542118432,71.88841201716738,27.78892451710999,77.30410769761824,69.84478935698448,27,27,18
35,35,0,16.956758305430412,80.43795620437956,79.38822184105203,4.254211187362671,81.90158465387823,76.017130620985,18.911126270890236,82.6372109078357,76.79127725856698,27,27,18
36,36,0,12.289819667115808,87.77893639207508,85.62035448827902,4.382785052061081,84.07005838198499,81.97424892703863,20.116279885172844,84.19054193993787,80.62084257206207,27,27,18
37,37,0,4.647718366235495,96.89259645464024,76.08695652173914,5.492487698793411,83.4862385321101,68.42105263157895,27.113036200404167,82.32654470141526,67.22838137472283,27,27,18
38,38,0,16.031576891429722,83.42022940563086,79.2166952544311,6.039516776800156,77.98165137614679,72.1030042918455,27.73898951523006,77.4249223334484,68.38137472283815,27,27,18
39,39,0,38.28460091352463,46.94473409801877,33.964049195837276,7.1504974365234375,64.30358632193494,33.83458646616541,30.789760291576385,66.32723507076285,32.087227414330215,27,27,18
40,40,0,27.393331170082092,64.06673618352451,39.45127719962157,5.515759199857712,73.47789824854046,38.34586466165413,23.500515535473824,76.37210907835691,38.940809968847354,27,27,18
41,41,0,7.842702753841877,93.74348279457769,80.60548722800378,2.9678416550159454,89.24103419516264,70.67669172932331,13.862620070576668,89.17846047635484,72.58566978193146,41,27,18
42,42,0,10.455594651401043,90.49009384775808,87.13339640491958,3.8888843953609467,86.40533778148458,83.04721030042919,17.42787778377533,85.26061442871936,80.97560975609757,41,27,18
43,43,0,6.402923218905926,95.53701772679875,85.71428571428571,3.07516548037529,88.49040867389492,76.69172932330827,14.517282739281654,88.5053503624439,74.9221183800623,41,27,18
44,44,0,9.889311656355858,91.32429614181439,84.23913043478261,4.171069264411926,85.15429524603837,78.54077253218884,19.081226140260696,83.74180186399724,75.92017738359202,41,27,18
45,45,0,7.210896801203489,94.80709071949947,87.5,3.248376503586769,88.57381150959132,80.45112781954887,15.33178674429655,88.12564722126338,78.81619937694704,41,27,18
46,46,0,11.197502342518419,89.38477580813348,85.86956521739131,4.780690431594849,84.07005838198499,77.25321888412017,22.177956890314817,82.60269244045564,74.19068736141907,41,27,18
47,47,0,6.535783011466265,95.45359749739312,87.5,3.8317079544067383,86.07172643869892,77.6824034334764,18.692050009965897,85.74387297204004,76.36363636363637,41,27,18
48,48,0,13.647019367665052,86.42335766423358,83.36192109777015,5.672062784433365,80.81734778982485,73.8197424892704,25.964431270956993,79.73765964791163,71.17516629711751,41,27,18
49,49,0,9.847150452435017,91.76225234619395,85.9035004730369,3.334006741642952,87.7397831526272,78.94736842105263,15.476474575698376,87.83224024853297,79.90654205607477,41,27,18
